CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
515,AVENIDA,COMBATIENTES DE MALVINAS AV.,COMBATIENTES DE MALVINAS AV. y TRIUNVIRATO AV.,PEATON
516,CALLE,BERMUDEZ,BERMUDEZ y NOGOYA,MOTO
517,AVENIDA,BRASIL AV.,BRASIL AV. y PASEO COLON AV.,MOTO
518,AVENIDA,"ALEM, LEANDRO N. AV.","ALEM, LEANDRO N. AV. 770",PEATON
519,AVENIDA,BELGRANO AV.,BELGRANO AV. y RINCON,PEATON
520,AVENIDA,"UDAONDO, GUILLERMO AV.","UDAONDO, GUILLERMO AV. 901",MOTO
521,CALLE,CONSTITUCION,CONSTITUCION y CASTRO,PEATON
522,AVENIDA,PUEYRREDON AV.,"PUEYRREDON AV. y GOMEZ, VALENTIN",PEATON
523,CALLE,"BRAVO, MARIO","BRAVO, MARIO 1279",PEATON
524,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,AUTO
525,AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL.","ARAOZ DE LAMADRID, GREGORIO, GRAL. y BROWN, ALTE. AV.",AUTO
526,CALLE,MURGUIONDO,MURGUIONDO 1339,AUTO
527,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 2551,PEATON
528,AUTOPISTA,"LUGONES, LEOPOLDO AV.","LUGONES, LEOPOLDO AV. KM 6,1",MOTO
529,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","DELLEPIANE, LUIS, TTE. GRAL. y MONTIEL",PEATON
530,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","SCALABRINI ORTIZ, RAUL AV. y WARNES AV.",PEATON
531,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ROFFO, ANGEL H., DR.",PEATON
532,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. 1550,MOTO
533,AVENIDA,"GARZON, EUGENIO, GRAL. AV.","GARZON, EUGENIO, GRAL. AV. y LARRAYA",MOTO
534,AVENIDA,CORRIENTES AV.,CORRIENTES AV. y SERRANO,MOTO
535,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DEL LIBERTADOR AV.",AUTO
536,CALLE,"MITRE, BARTOLOME","MITRE, BARTOLOME y ANCHORENA, TOMAS MANUEL DE, DR.",PEATON
537,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 25 DE MAYO y PUMACAHUA,MOTO
538,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","SCALABRINI ORTIZ, RAUL AV. y PARAGUAY",PEATON
539,AVENIDA,LAS HERAS GENERAL AV.,"LAS HERAS GENERAL AV. y DIAZ, CNEL. AV.",AUTO
540,CALLE,MURGUIONDO,MURGUIONDO,PEATON
541,AVENIDA,"CASTILLO, RAMON S., PRES. AV.","CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",AUTO
542,AVENIDA,CURAPALIGUE,"CURAPALIGUE y PERON, EVA AV.",MOTO
543,AVENIDA,"DIAZ, ANA","DIAZ, ANA y SOLDADO DE LA FRONTERA AV.",PEATON
544,AVENIDA,"ALEM, LEANDRO N. AV.","ALEM, LEANDRO N. AV. y PARAGUAY",PEATON
545,AVENIDA,LA PLATA AV.,LA PLATA AV. e INDEPENDENCIA AV.,AUTO
546,AVENIDA,NAZCA AV.,"NAZCA AV. y CARRANZA, ADOLFO P.",MOTO
547,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,AUTOPISTA PRESIDENTE HÉCTOR J. CÁMPORA y LACARRA AV.,PEATON
548,AVENIDA,DORREGO AV.,DORREGO AV. 614,MOTO
549,AVENIDA,DEL LIBERTADOR AV.,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",PEATON
550,AVENIDA,AVELLANEDA AV.,AVELLANEDA AV. y MERCEDES,MOTO
551,AVENIDA,TUCUMAN,TUCUMAN y PUEYRREDON AV.,BICICLETA
552,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y EINSTEIN, ALBERTO",AUTO
553,CALLE,INCLAN,INCLAN y ALBERTI,BICICLETA
554,AVENIDA,OLAZABAL AV.,OLAZABAL AV. 5437,PEATON
555,AVENIDA,NAZCA AV.,"NAZCA AV. y VIALE, LUIS",PEATON
556,CALLE,BRASIL,BRASIL 1100,PEATON
557,AVENIDA,HOMERO,"HOMERO y PERON, EVA AV.",PEATON
