CaracteristicaAccidenteID,TIPO_DE_CALLE,CALLE,DIRECCION_NORMALIZADA,VICTIMA
276,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO KM. 0.6,AUTO
277,AVENIDA,"HUERGO, ING. AV.","HUERGO, ING. AV. e INDEPENDENCIA AV.",MOTO
278,AVENIDA,PILCOMAYO,"PILCOMAYO y BROWN, ALTE. AV.",MOTO
279,CALLE,CERVANTES,"CERVANTES y BELAUSTEGUI, LUIS, DR.",MOTO
280,AVENIDA,CALLAO AV.,"CALLAO AV. y LOPEZ, VICENTE",PEATON
281,CALLE,OLIDEN,"OLIDEN y CHILAVERT, MARTINIANO, CORONEL",MOTO
282,AVENIDA,CONGRESO AV.,CONGRESO AV. y GALVAN,MOTO
283,AVENIDA,"MORENO, PERITO AV.","MORENO, PERITO AV. y RIVERA INDARTE AV.",PEATON
284,AVENIDA,AUSTRALIA AV.,AUSTRALIA AV. 2800,MOTO
285,AVENIDA,SAN PEDRITO AV.,SAN PEDRITO AV. y RIVADAVIA AV.,PEATON
286,CALLE,ISABEL LA CATOLICA,"ISABEL LA CATOLICA y SALVADORES, CNEL.",MOTO
287,AVENIDA,LAS HERAS GENERAL AV.,LAS HERAS GENERAL AV. y CALLAO AV.,PEATON
288,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,"FERNANDEZ DE LA CRUZ F., GRAL. AV. y AUTOPISTA PRESIDENTE HECTOR J. CAMPORA",MOTO
289,AVENIDA,"ALCORTA, AMANCIO AV.","ALCORTA, AMANCIO AV. y ZAVALETA",PEATON
290,AVENIDA,"MONTES DE OCA, MANUEL AV.","MONTES DE OCA, MANUEL AV. y OLAVARRIA",MOTO
291,CALLE,BARCO CENTENERA DEL,BARCO CENTENERA DEL y ROSARIO,MOTO
292,AVENIDA,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV. y DONADO,PEATON
293,AVENIDA,AVELLANEDA AV.,AVELLANEDA AV. y BOYACA AV.,PEATON
294,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y SAENZ AV.",MOVIL
295,CALLE,CASTRO,CASTRO y RONDEAU,PEATON
296,AVENIDA,"BILBAO, FRANCISCO AV.","BILBAO, FRANCISCO AV. y AZUL",PEATON
297,AVENIDA,NAZCA AV.,NAZCA AV. y GAONA AV.,MOTO
298,AVENIDA,PLAZA,PLAZA y ALVAREZ THOMAS AV.,MOTO
299,AVENIDA,GAONA AV.,"GAONA AV. y ARTIGAS, JOSE GERVASIO, GRAL.",MOTO
300,AVENIDA,CABILDO AV.,CABILDO AV. y AGUILAR,PEATON
301,AVENIDA,CAMARONES,CAMARONES y LOPE DE VEGA AV.,MOTO
302,AVENIDA,SANTA FE AV.,SANTA FE AV. 2320,PEATON
303,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 6950,PEATON
304,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y ARGERICH,MOTO
305,AVENIDA,CORDOBA AV.,"CORDOBA AV. y URIBURU JOSE E., PRES.",PEATON
306,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 1571,PEATON
307,AUTOPISTA,"LUGONES, LEOPOLDO AV.",AUTOPISTA LUGONES KM 4.7,PEATON
308,CALLE,"FREIRE, RAMON, CAP. GRAL.","FREIRE, RAMON, CAP. GRAL. y OLAGUER Y FELIU, VIRREY",PEATON
309,AVENIDA,LA PLATA AV.,"LA PLATA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",PEATON
310,CALLE,BRANDSEN,BRANDSEN y PERDRIEL,MOTO
311,AVENIDA,"VILARDEBO, TEODORO","VILARDEBO, TEODORO y ALVAREZ JONTE AV.",MOTO
312,AVENIDA,ALBERTI,ALBERTI e INDEPENDENCIA AV.,PEATON
313,AVENIDA,ALVAREZ THOMAS AV.,ALVAREZ THOMAS AV. 879,AUTO
314,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y RIVADAVIA AV.",PEATON
315,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y PEDERNERA,PEATON
316,CALLE,QUESADA,QUESADA 2300,PEATON
317,AVENIDA,CABILDO AV.,CABILDO AV. y JURAMENTO AV.,PEATON
318,CALLE,CALIFORNIA,"CALIFORNIA y CARBONARI, FRANCISCO, CMTE.",PEATON
319,AVENIDA,"CARRIL, SALVADOR MARIA DEL AV.","CARRIL, SALVADOR MARIA DEL AV. y NAZCA",PEATON
320,CALLE,SAN LUIS,SAN LUIS y AGUERO,MOTO
321,CALLE,LUGONES,LUGONES 2430,PEATON
322,AVENIDA,INDEPENDENCIA AV.,INDEPENDENCIA AV. y JUJUY AV.,MOTO
323,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 11050,PEATON
324,CALLE,COMBATE DE LOS POZOS,COMBATE DE LOS POZOS y HUMBERTO 1° A,MOTO
325,AVENIDA,CORDOBA AV.,CORDOBA AV. y THAMES,MOTO
326,AVENIDA,"GARAY, JUAN DE AV.","GARAY, JUAN DE AV. y SANCHEZ DE LORIA",MOTO
327,CALLE,ESTADOS UNIDOS,ESTADOS UNIDOS y PICHINCHA,MOTO
328,CALLE,ROSARIO,ROSARIO y BARCO CENTENERA DEL,PEATON
329,AVENIDA,"ALEM, LEANDRO N. AV.","ALEM, LEANDRO N. AV. y VIAMONTE",PEATON
330,AVENIDA,VARELA AV.,VARELA AV. y PRIMERA JUNTA,AUTO
331,CALLE,"PELLEGRINI, CARLOS","PELLEGRINI, CARLOS y JUNCAL",MOTO
332,AVENIDA,CORRIENTES AV.,"CORRIENTES AV. y LACROZE, FEDERICO AV.",PEATON
333,AVENIDA,"MONTES DE OCA, MANUEL AV.","MONTES DE OCA, MANUEL AV. y FINOCHIETTO ENRIQUE DR.",PASAJEROS
334,AVENIDA,CARABOBO AV.,"CARABOBO AV. y ALBERDI, JUAN BAUTISTA AV.",MOTO
335,AVENIDA,CORDOBA AV.,CORDOBA AV. 2215,BICICLETA
336,CALLE,ESTADOS UNIDOS,"ESTADOS UNIDOS y URQUIZA, GRAL.",MOTO
337,AVENIDA,MORENO,"MORENO y HUERGO, ING. AV.",MOTO
338,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MONTIEL,MOTO
339,AVENIDA,"IRIARTE, GRAL. AV.","IRIARTE, GRAL. AV. 3400",PEATON
340,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. 2968",AUTO
341,AVENIDA,DEL LIBERTADOR AV.,DEL LIBERTADOR AV. y ORTIZ DE OCAMPO,PEATON
342,CALLE,"CHAVEZ, JORGE","CHAVEZ, JORGE y PAZ, GRAL. AV.",AUTO
343,CALLE,"URQUIZA, GRAL.","URQUIZA, GRAL. y ESTADOS UNIDOS",AUTO
344,CALLE,PARAGUAY,PARAGUAY y SANCHEZ DE BUSTAMANTE,PEATON
345,GRAL PAZ,DE LOS CORRALES AV.,"DE LOS CORRALES AV. y PAZ, GRAL. AV.",PEATON
346,AVENIDA,CASTANARES AV.,CASTAÑARES AV. y RIVERA INDARTE AV.,PEATON
347,AVENIDA,LARRAZABAL,"LARRAZABAL y GARZON, EUGENIO, GRAL. AV.",MOTO
348,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",MOTO
349,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.","MOREAU DE JUSTO, ALICIA AV. y COCHABAMBA",PEATON
350,AVENIDA,ENTRE RIOS AV.,"ENTRE RIOS AV. y GARAY, JUAN DE AV.",MOTO
351,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y GUARDIA NACIONAL,PEATON
352,AVENIDA,PAVON AV.,PAVON AV. y COLOMBRES,PEATON
353,AVENIDA,27 DE FEBRERO AV.,27 DE FEBRERO AV. y PERGAMINO,MOTO
354,AVENIDA,CORDOBA AV.,CORDOBA AV. y GASCON,MOTO
355,CALLE,15 DE NOVIEMBRE DE 1889,15 DE NOVIEMBRE DE 1889 1513,PEATON
356,CALLE,"SALGUERO, JERONIMO","SALGUERO, JERONIMO y BERUTI",MOTO
357,AVENIDA,LACARRA AV.,"LACARRA AV. y DELLEPIANE, LUIS, TTE. GRAL.",AUTO
358,AUTOPISTA,AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,"AUTOPISTA PRESIDENTE HÉCTOR J. CÁMPORA y ROCA, CNEL. AV.",PEATON
359,AVENIDA,VARELA AV.,"VARELA AV. y RABANAL, FRANCISCO, INTENDENTE AV.",AUTO
360,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y BERON DE ASTRADA",AUTO
361,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.","RAWSON DE DELLEPIANE, ELVIRA AV. 150",MOTO
362,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y ZAPIOLA",AUTO
363,CALLE,FAMATINA,"FAMATINA y TABORDA, DIOGENES",MOTO
364,AVENIDA,CASTA?ARES AV.,"CASTAÑARES AV. y BONORINO, ESTEBAN, CNEL. AV.",PEATON
365,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,MOTO
366,AVENIDA,NAZCA AV.,NAZCA AV. y RIVADAVIA AV.,PEATON
367,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","FIGUEROA ALCORTA, PRES. AV. y ECHEVERRIA",MOTO
368,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y JUJUY AV.,PEATON
369,AVENIDA,DE LOS ITALIANOS AV.,"DE LOS ITALIANOS AV. y GUEMES, MACACHA",MOTO
370,AVENIDA,TUCUMAN,"TUCUMAN y ALEM, LEANDRO N. AV.",PEATON
371,AVENIDA,CORRIENTES AV.,"CORRIENTES AV. y GALLARDO, ANGEL AV.",PEATON
372,AUTOPISTA,AUTOPISTA PERITO MORENO,"AUTOPISTA PERITO MORENO & PERON, EVA  AV.",MOTO
373,CALLE,MU?ECAS,MUÑECAS y SERRANO,MOTO
374,CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.","ARTIGAS, JOSE GERVASIO, GRAL. y TRES ARROYOS",MOTO
375,AVENIDA,SOLIS,SOLIS e INDEPENDENCIA AV.,MOTO
376,CALLE,"BOSCH, VENTURA","BOSCH, VENTURA y PAZ, GRAL. AV.",PEATON
377,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 14800",PEATON
378,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 5321",MOTO
379,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y PUEYRREDON AV.",PEATON
380,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y SAN PEDRITO",PEATON
381,AVENIDA,MONROE,MONROE y ALVAREZ THOMAS AV.,PEATON
382,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y MANZONI,PEATON
383,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y LARRAZABAL,AUTO
384,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y PERON, EVA AV.",AUTO
385,AUTOPISTA,AUTOPISTA PERITO MORENO,AUTOPISTA PERITO MORENO y RESERVISTAS ARGENTINOS,CARGAS
386,AVENIDA,SAENZ AV.,SAENZ AV. y VENTANA,PEATON
387,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y FALCON, RAMON L.,CNEL.",MOTO
388,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",MOTO
389,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 11200",AUTO
390,AVENIDA,"NEWBERY, JORGE AV.","NEWBERY, JORGE AV. y GUEVARA",MOTO
391,AVENIDA,GAONA AV.,GAONA AV. y SEGUROLA AV.,MOTO
392,AVENIDA,"MADERO, EDUARDO AV.","MADERO, EDUARDO AV. 550",MOTO
393,AUTOPISTA,AUTOPISTA ARTURO ILLIA,"AUTOPISTA ARTURO ILLIA y CASTILLO, RAMON S., PRES. AV.",PEATON
394,AVENIDA,LA PLATA AV.,LA PLATA AV. y CASEROS AV.,PEATON
395,AVENIDA,BELGRANO AV.,BELGRANO AV. y PERU,PEATON
396,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 7013,PEATON
397,CALLE,"ALSINA, ADOLFO","ALSINA, ADOLFO y SANTIAGO DEL ESTERO",MOTO
398,CALLE,BERMUDEZ,BERMUDEZ 1893,PASAJEROS
399,CALLE,SANTANDER,SANTANDER 1974,MOTO
400,CALLE,LANTERI JULIETA,LANTERI JULIETA 1400,AUTO
401,AVENIDA,MAZA,MAZA e INDEPENDENCIA AV.,PEATON
402,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 5172",CARGAS
403,AVENIDA,OLIVERA AV.,"OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",MOTO
404,AVENIDA,"CASTILLO, RAMON S., PRES. AV.","CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",MOTO
405,AVENIDA,CASTA?ARES AV.,"CASTAÑARES AV. y MORENO, PERITO AV.",AUTO
406,AVENIDA,SAN MARTIN AV.,SAN MARTIN AV. y TERRADA,MOTO
407,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. y MEDINA",AUTO
408,AVENIDA,"JUSTO, JUAN B. AV.","JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.",MOTO
