FechaID,FECHA,AAAA,MM,DD,HORA,HH
200,2017-06-04,2017,6,4,0 days 12:50:00,12
201,2017-06-12,2017,6,12,0 days 22:38:00,22
202,2017-06-13,2017,6,13,0 days 14:50:00,14
203,2017-06-17,2017,6,17,0 days 23:45:00,23
204,2017-06-19,2017,6,19,0 days 16:26:00,16
205,2017-06-22,2017,6,22,0 days 10:15:00,10
206,2017-06-25,2017,6,25,0 days 22:40:00,22
207,2017-07-04,2017,7,4,0 days 00:25:00,0
208,2017-07-05,2017,7,5,0 days 12:49:00,12
209,2017-07-07,2017,7,7,0 days 14:15:00,14
210,2017-07-09,2017,7,9,0 days 07:30:00,7
211,2017-07-10,2017,7,10,0 days 10:45:00,10
212,2017-07-10,2017,7,10,0 days 22:30:00,22
213,2017-07-13,2017,7,13,0 days 12:05:00,12
214,2017-07-15,2017,7,15,0 days 05:15:00,5
215,2017-07-15,2017,7,15,0 days 13:00:00,13
216,2017-07-24,2017,7,24,0 days 22:16:01,22
217,2017-07-25,2017,7,25,0 days 16:48:40,16
218,2017-07-27,2017,7,27,0 days 08:50:00,8
219,2017-08-06,2017,8,6,0 days 08:00:00,8
220,2017-08-07,2017,8,7,0 days 19:50:00,19
221,2017-08-08,2017,8,8,0 days 12:10:00,12
222,2017-08-17,2017,8,17,0 days 19:45:00,19
223,2017-08-21,2017,8,21,0 days 07:45:00,7
224,2017-08-23,2017,8,23,0 days 10:00:00,10
225,2017-08-24,2017,8,24,0 days 01:10:00,1
226,2017-08-25,2017,8,25,0 days 09:00:00,9
227,2017-08-31,2017,8,31,0 days 19:50:00,19
228,2017-09-01,2017,9,1,0 days 11:30:00,11
229,2017-09-02,2017,9,2,0 days 04:53:08,4
230,2017-09-04,2017,9,4,0 days 21:00:00,21
231,2017-09-06,2017,9,6,0 days 14:15:00,14
232,2017-09-07,2017,9,7,0 days 18:23:37,18
233,2017-09-10,2017,9,10,0 days 09:32:17,9
234,2017-09-11,2017,9,11,0 days 06:30:00,6
235,2017-09-15,2017,9,15,0 days 02:30:00,2
236,2017-09-19,2017,9,19,0 days 18:52:33,18
237,2017-09-20,2017,9,20,0 days 22:24:00,22
238,2017-09-22,2017,9,22,0 days 07:02:09,7
239,2017-10-02,2017,10,2,0 days 15:55:33,15
240,2017-10-10,2017,10,10,0 days 01:05:38,1
241,2017-10-12,2017,10,12,0 days 14:40:28,14
242,2017-10-13,2017,10,13,0 days 06:12:20,6
243,2017-10-14,2017,10,14,0 days 06:15:00,6
244,2017-10-16,2017,10,16,0 days 07:45:00,7
245,2017-10-17,2017,10,17,0 days 12:30:00,12
246,2017-10-26,2017,10,26,0 days 19:15:15,19
247,2017-10-27,2017,10,27,0 days 05:30:00,5
248,2017-10-30,2017,10,30,0 days 14:00:00,14
249,2017-11-06,2017,11,6,0 days 18:00:00,18
250,2017-11-07,2017,11,7,0 days 12:14:10,12
251,2017-11-16,2017,11,16,0 days 08:43:00,8
252,2017-11-17,2017,11,17,0 days 11:45:00,11
253,2017-11-19,2017,11,19,0 days 10:30:00,10
254,2017-11-19,2017,11,19,0 days 22:30:00,22
255,2017-11-19,2017,11,19,0 days 23:22:17,23
256,2017-11-23,2017,11,23,0 days 19:45:00,19
257,2017-11-25,2017,11,25,0 days 21:45:00,21
258,2017-11-26,2017,11,26,0 days 06:45:00,6
259,2017-11-26,2017,11,26,0 days 17:05:00,17
260,2017-11-28,2017,11,28,0 days 11:15:00,11
261,2017-11-29,2017,11,29,0 days 10:45:00,10
262,2017-11-30,2017,11,30,0 days 12:20:00,12
263,2017-12-04,2017,12,4,0 days 01:15:00,1
264,2017-12-04,2017,12,4,0 days 02:15:00,2
265,2017-12-06,2017,12,6,0 days 17:30:00,17
266,2017-12-11,2017,12,11,0 days 02:00:00,2
267,2017-12-11,2017,12,11,0 days 09:15:00,9
268,2017-12-12,2017,12,12,0 days 21:25:41,21
269,2017-12-17,2017,12,17,0 days 09:02:00,9
270,2017-12-18,2017,12,18,0 days 21:30:00,21
271,2017-12-20,2017,12,20,0 days 04:31:27,4
272,2017-12-22,2017,12,22,0 days 13:15:00,13
273,2017-12-26,2017,12,26,0 days 15:30:00,15
274,2018-01-01,2018,1,1,0 days 22:50:00,22
275,2018-01-03,2018,1,3,0 days 16:40:00,16
276,2018-01-05,2018,1,5,0 days 10:12:00,10
277,2018-01-09,2018,1,9,0 days 09:40:00,9
278,2018-01-09,2018,1,9,0 days 22:30:00,22
279,2018-01-10,2018,1,10,0 days 21:15:00,21
280,2018-01-11,2018,1,11,0 days 02:30:00,2
281,2018-01-12,2018,1,12,0 days 17:50:00,17
282,2018-01-14,2018,1,14,0 days 02:00:00,2
283,2018-01-18,2018,1,18,0 days 05:10:00,5
284,2018-01-19,2018,1,19,0 days 10:30:00,10
285,2018-01-26,2018,1,26,0 days 13:30:00,13
286,2018-01-28,2018,1,28,0 days 08:15:00,8
287,2018-01-31,2018,1,31,0 days 20:00:00,20
288,2018-02-06,2018,2,6,0 days 01:00:00,1
289,2018-02-15,2018,2,15,0 days 10:15:00,10
290,2018-02-17,2018,2,17,0 days 04:15:00,4
291,2018-02-17,2018,2,17,0 days 07:15:00,7
292,2018-02-17,2018,2,17,0 days 12:30:00,12
293,2018-02-19,2018,2,19,0 days 22:00:00,22
294,2018-02-22,2018,2,22,0 days 10:45:00,10
295,2018-02-24,2018,2,24,0 days 00:00:00,0
296,2018-02-24,2018,2,24,0 days 06:00:00,6
297,2018-02-28,2018,2,28,0 days 23:00:00,23
298,2018-03-04,2018,3,4,0 days 22:30:00,22
299,2018-03-09,2018,3,9,0 days 04:45:00,4
300,2018-03-11,2018,3,11,0 days 23:00:00,23
301,2018-03-13,2018,3,13,0 days 15:45:00,15
302,2018-03-15,2018,3,15,0 days 18:00:00,18
303,2018-03-20,2018,3,20,0 days 01:30:00,1
304,2018-03-28,2018,3,28,0 days 10:15:00,10
305,2018-04-02,2018,4,2,0 days 13:00:00,13
