HechoVictimaID,ID_HECHO,FechaID,VictimaID
541,2016-0050,37,38
542,2016-0050,37,322
543,2016-0051,38,39
544,2016-0051,39,39
545,2016-0051,38,133
546,2016-0051,39,133
547,2016-0051,38,210
548,2016-0051,39,210
549,2016-0051,38,237
550,2016-0051,39,237
551,2016-0051,38,522
552,2016-0051,39,522
553,2016-0051,38,602
554,2016-0051,39,602
555,2016-0051,38,627
556,2016-0051,39,627
557,2016-0051,38,637
558,2016-0051,39,637
559,2016-0051,38,39
560,2016-0051,39,39
561,2016-0051,38,133
562,2016-0051,39,133
563,2016-0051,38,210
564,2016-0051,39,210
565,2016-0051,38,237
566,2016-0051,39,237
567,2016-0051,38,522
568,2016-0051,39,522
569,2016-0051,38,602
570,2016-0051,39,602
571,2016-0051,38,627
572,2016-0051,39,627
573,2016-0051,38,637
574,2016-0051,39,637
575,2016-0052,38,37
576,2016-0052,39,37
577,2016-0052,38,37
578,2016-0052,39,37
579,2016-0053,40,22
580,2016-0053,40,40
581,2016-0053,40,78
582,2016-0053,40,120
583,2016-0053,40,557
584,2016-0053,40,584
585,2016-0054,41,3
586,2016-0054,41,6
587,2016-0054,41,19
588,2016-0054,41,41
589,2016-0054,41,50
590,2016-0054,41,55
591,2016-0054,41,85
592,2016-0054,41,136
593,2016-0054,41,142
594,2016-0054,41,261
595,2016-0054,41,334
596,2016-0054,41,356
597,2016-0054,41,389
598,2016-0054,41,476
599,2016-0054,41,620
600,2016-0054,41,684
601,2016-0055,42,42
602,2016-0056,43,43
603,2016-0056,43,228
604,2016-0056,43,287
605,2016-0056,43,289
606,2016-0056,43,298
607,2016-0056,43,328
608,2016-0056,43,616
609,2016-0056,43,630
610,2016-0056,43,682
611,2016-0058,44,44
612,2016-0058,44,321
613,2016-0058,44,673
614,2016-0059,45,45
615,2016-0059,45,309
616,2016-0059,45,509
617,2016-0059,45,665
618,2016-0064,46,46
619,2016-0064,46,47
620,2016-0065,47,46
621,2016-0065,47,47
622,2016-0067,48,48
623,2016-0068,49,49
624,2016-0068,49,206
625,2016-0068,49,253
626,2016-0068,49,347
627,2016-0069,50,3
628,2016-0069,50,6
629,2016-0069,50,19
630,2016-0069,50,41
631,2016-0069,50,50
632,2016-0069,50,55
633,2016-0069,50,85
634,2016-0069,50,136
635,2016-0069,50,142
636,2016-0069,50,261
637,2016-0069,50,334
638,2016-0069,50,356
639,2016-0069,50,389
640,2016-0069,50,476
641,2016-0069,50,620
642,2016-0069,50,684
643,2016-0073,51,51
644,2016-0073,51,63
645,2016-0073,51,117
646,2016-0073,51,134
647,2016-0073,51,145
648,2016-0073,51,241
649,2016-0073,51,242
650,2016-0073,51,363
651,2016-0073,51,386
652,2016-0073,51,419
653,2016-0073,51,438
654,2016-0073,51,526
655,2016-0074,52,52
656,2016-0074,53,52
657,2016-0074,52,315
658,2016-0074,53,315
659,2016-0074,52,698
660,2016-0074,53,698
661,2016-0074,52,52
662,2016-0074,53,52
663,2016-0074,52,315
664,2016-0074,53,315
665,2016-0074,52,698
666,2016-0074,53,698
667,2016-0075,52,53
668,2016-0075,53,53
669,2016-0075,52,387
670,2016-0075,53,387
671,2016-0075,52,53
672,2016-0075,53,53
673,2016-0075,52,387
674,2016-0075,53,387
675,2016-0076,54,54
676,2016-0076,55,54
677,2016-0076,56,54
678,2016-0076,54,563
679,2016-0076,55,563
680,2016-0076,56,563
681,2016-0076,54,54
682,2016-0076,55,54
683,2016-0076,56,54
684,2016-0076,54,563
685,2016-0076,55,563
686,2016-0076,56,563
687,2016-0076,54,54
688,2016-0076,55,54
689,2016-0076,56,54
690,2016-0076,54,563
691,2016-0076,55,563
692,2016-0076,56,563
693,2016-0077,54,36
694,2016-0077,55,36
695,2016-0077,56,36
696,2016-0077,54,310
697,2016-0077,55,310
698,2016-0077,56,310
699,2016-0077,54,445
700,2016-0077,55,445
701,2016-0077,56,445
702,2016-0077,54,554
703,2016-0077,55,554
704,2016-0077,56,554
705,2016-0077,54,621
706,2016-0077,55,621
707,2016-0077,56,621
708,2016-0077,54,36
709,2016-0077,55,36
710,2016-0077,56,36
711,2016-0077,54,310
712,2016-0077,55,310
713,2016-0077,56,310
714,2016-0077,54,445
715,2016-0077,55,445
716,2016-0077,56,445
717,2016-0077,54,554
718,2016-0077,55,554
719,2016-0077,56,554
720,2016-0077,54,621
721,2016-0077,55,621
722,2016-0077,56,621
723,2016-0077,54,36
724,2016-0077,55,36
725,2016-0077,56,36
726,2016-0077,54,310
727,2016-0077,55,310
728,2016-0077,56,310
729,2016-0077,54,445
730,2016-0077,55,445
731,2016-0077,56,445
732,2016-0077,54,554
733,2016-0077,55,554
734,2016-0077,56,554
735,2016-0077,54,621
736,2016-0077,55,621
737,2016-0077,56,621
738,2016-0078,54,3
739,2016-0078,55,3
740,2016-0078,56,3
741,2016-0078,54,6
742,2016-0078,55,6
743,2016-0078,56,6
744,2016-0078,54,19
745,2016-0078,55,19
746,2016-0078,56,19
747,2016-0078,54,41
748,2016-0078,55,41
749,2016-0078,56,41
750,2016-0078,54,50
751,2016-0078,55,50
752,2016-0078,56,50
753,2016-0078,54,55
754,2016-0078,55,55
755,2016-0078,56,55
756,2016-0078,54,85
757,2016-0078,55,85
758,2016-0078,56,85
759,2016-0078,54,136
760,2016-0078,55,136
761,2016-0078,56,136
762,2016-0078,54,142
763,2016-0078,55,142
764,2016-0078,56,142
765,2016-0078,54,261
766,2016-0078,55,261
767,2016-0078,56,261
768,2016-0078,54,334
769,2016-0078,55,334
770,2016-0078,56,334
771,2016-0078,54,356
772,2016-0078,55,356
773,2016-0078,56,356
774,2016-0078,54,389
775,2016-0078,55,389
776,2016-0078,56,389
777,2016-0078,54,476
778,2016-0078,55,476
779,2016-0078,56,476
780,2016-0078,54,620
781,2016-0078,55,620
782,2016-0078,56,620
783,2016-0078,54,684
784,2016-0078,55,684
785,2016-0078,56,684
786,2016-0078,54,3
787,2016-0078,55,3
788,2016-0078,56,3
789,2016-0078,54,6
790,2016-0078,55,6
791,2016-0078,56,6
792,2016-0078,54,19
793,2016-0078,55,19
794,2016-0078,56,19
795,2016-0078,54,41
796,2016-0078,55,41
797,2016-0078,56,41
798,2016-0078,54,50
799,2016-0078,55,50
800,2016-0078,56,50
801,2016-0078,54,55
802,2016-0078,55,55
803,2016-0078,56,55
804,2016-0078,54,85
805,2016-0078,55,85
806,2016-0078,56,85
807,2016-0078,54,136
808,2016-0078,55,136
809,2016-0078,56,136
810,2016-0078,54,142
811,2016-0078,55,142
812,2016-0078,56,142
813,2016-0078,54,261
814,2016-0078,55,261
815,2016-0078,56,261
816,2016-0078,54,334
817,2016-0078,55,334
818,2016-0078,56,334
819,2016-0078,54,356
820,2016-0078,55,356
821,2016-0078,56,356
822,2016-0078,54,389
823,2016-0078,55,389
824,2016-0078,56,389
825,2016-0078,54,476
826,2016-0078,55,476
827,2016-0078,56,476
828,2016-0078,54,620
829,2016-0078,55,620
830,2016-0078,56,620
831,2016-0078,54,684
832,2016-0078,55,684
833,2016-0078,56,684
834,2016-0078,54,3
835,2016-0078,55,3
836,2016-0078,56,3
837,2016-0078,54,6
838,2016-0078,55,6
839,2016-0078,56,6
840,2016-0078,54,19
841,2016-0078,55,19
842,2016-0078,56,19
843,2016-0078,54,41
844,2016-0078,55,41
845,2016-0078,56,41
846,2016-0078,54,50
847,2016-0078,55,50
848,2016-0078,56,50
849,2016-0078,54,55
850,2016-0078,55,55
851,2016-0078,56,55
